city_name,hub_name,hub_id,product_id,product_name,category,new_catg,RM,RM_Category,order_type,sku_class,price,day,date,hub_type,sku_recency,flag,r7_plan,r7_inv,r7_plan_rev,r7_inv_rev,hub_dist,sampling_plan,sub_catg,Classification,AF.50,...1,rm_category,Cut_Classification,Xmas,...25,...26,RM_id,Original_city,GFD,Flag,RM_Id,Next.day,RM.Id,...24,product_id...8,product_id...9,Hub.SKU.Day,pr_o2hlatbhe9i,Indent.file,Buff,BasePlan,BaseRev,pr_io2l5gg3wmg,Correct_City,buffer_qty_at_upstream,...28
NCR,SPC,52,pr_eq3lbgf566f,Chicken Keema - 250 gms (Mini Pack),Chicken,Chicken,Chicken,,E,,165.0,Friday,2023-08-04,Online,Old,,5,7,825.0,1155.0,,,,Tail,Low Volume,,Chicken,Trimmings,,,,,,,,,,,,,,,,,,,,,,,
Mumbai,MLD,79,pr_2phku6qunbl,Goat - Mince,Lamb & Goat,Lamb & Goat,Goat carcass,,E,,729.0,Friday,2023-08-25,Online,Old,,9,13,6561.0,9477.0,,,,Torso,High Volume,,Goat carcass,Lamb & Goat - SFG,,,,,,,,,,,,,,,,,,,,,,,
Hyderabad,CDN,50,pr_572359462392e,Peri Peri Chicken (Spicy),Ready to Cook,Ready to Cook,Chicken,,E,,294.0,Saturday,2023-10-14,Online,Old,,1,1,294.0,294.0,,,,VA-Head,High Volume,,Chicken,Drumstick,,,,,,,,,,,,,,,,,,,,,,,
Pune,MGP,59,pr_ewyl4pfawzh,Hyderabadi Mutton Biryani - Mini,Biryani,Biryani,Lamb carcass,,E,,294.0,Saturday,2023-05-20,Online,Old,,0,0,0.0,0.0,,,,VA-Tail,High Volume,,Goat carcass,Biryani,,,,,,,,,,,,,,,,,,,,,,,
NCR,SUN,20,pr_ntcjmw19kw5,Chicken Cutlet (Bengali Style),Ready to Cook,Ready to Cook,Chicken,,E,,222.0,Thursday,2023-10-05,Online,Old,,0,0,0.0,0.0,,,,VA-Tail,High Volume,,Chicken,Trimmings,,,,,,,,,,,,,,,,,,,,,,,
Hyderabad,Kondapur,17,pr_fagkepqge4h,Chicken Liver,Chicken,Chicken,Chicken Liver,,E,,99.0,Wednesday,2023-08-23,Online,Old,,18,18,1782.0,1782.0,,,,Target Group,High Volume,,Chicken Offals,Chicken - Offals,,,,,,,,,,,,,,,,,,,,,,,
Bangalore,JPN,6,pr_hd2jpfd81gp,Nilgiri Fish Tikka,Ready to Cook,Ready to Cook,Basa,,E,Tail,290.0,Tuesday,2023-03-07,Online,Old,,1,1,290.0,290.0,,,,VA-Head,High AF50,,Basa,Fish & Seafood - Cubes/Fillet,,,,,,,,,,,,,,,,,,,,,,,
Bangalore,HOODI,10,pr_g4dl4wrlu1k,"Anchovy Large - Whole, Cleaned",Fish & Seafood,Fish & Seafood,Anchovy Large,,E,,209.0,Tuesday,2023-09-05,Online,Old,,0,0,0.0,0.0,,,,Target Group,High Volume,,Anchovy,Fish & Seafood - Whole,,,,,,,,,,,,,,,,,,,,,,,
Kolkata,SDE,1412,pr_384lftdd7e7,Goat Curry Cut (1000g),Lamb & Goat,Lamb & Goat,Goat carcass,,E,,1199.0,Sunday,2023-09-17,Online,Old,,6,6,7194.0,7194.0,,,,Torso,Low Volume,,Goat Curry Cut,Lamb & Goat,,,,,,,,,,,,,,,,,,,,,,,
Pune,MGP,59,pr_57234c427648b,Chicken Curry Cut (Large - 8 to 10 Pieces),Chicken,Chicken,Chicken Curry Cut (Large),,E,Head,147.0,Friday,2023-03-24,Online,Old,,20,26,2940.0,3822.0,,,,Head,Non AF50,,Chicken Curry Cut (Large),Chicken - CC,,,,,,,,,,,,,,,,,,,,,,,
Bangalore,JAK,12,pr_kkxktwxejd0,Basa - Fry Cut,Fish & Seafood,Fish & Seafood,Basa,,E,Head,299.0,Thursday,2023-03-30,Online,Old,,4,6,1196.0,1794.0,,,,Torso,High Volume,,Basa,Fish & Seafood - Cubes/Fillet,,,,,,,,,,,,,,,,,,,,,,,
Mumbai,MUL,80,pr_jlwjrt7w7gi,Chicken Loaf(Smoked & Sliced),Cold Cuts,Cold Cuts,Chicken Chilli Ham Smoked,,E,,267.0,Sunday,2023-11-19,Online,Old,,1,1,267.0,267.0,,,,VA-Head,Low Volume,,Chicken Chilli Ham Smoked,Cold Cuts - All,,,,,,,,,,,,,,,,,,,,,,,
Mumbai,WDL,100,pr_59a6d117e3836,Fish Tikka,Ready to Cook,Ready to Cook,Basa,,E,,329.0,Tuesday,2023-11-21,Online,Old,,1,1,329.0,329.0,,,,VA-Head,High Volume,,Basa,Fish & Seafood - Cubes/Fillet,,,,,,,,,,,,,,,,,,,,,,,
Pune,MGP,59,pr_4q4jya5rq6v,Chunky Continental Chicken Spread,Spreads,Others,Shawarma,,E,Head,193.0,Monday,2023-02-20,Online,Old,,2,2,386.0,386.0,,,,VA-Head,Non AF50,,NA,Spreads,,,,,Pune,NA,,2.0,,,,,,,,,,,,,,,
Pune,MGP,59,pr_2j9jxbyum56,Mackerel Large - Curry Cut,Fish & Seafood,Fish & Seafood,Mackerel large,,E,,299.0,Friday,2023-10-20,Online,Old,,0,0,0.0,0.0,,,,Target Group,High Volume,,Mackerel,Fish & Seafood - Curry Cuts,,,,,,,,,,,,,,,,,,,,,,,
Mumbai,BOR,98,pr_4cyjya5ry5e,Chunky Butter Chicken Spread,Spreads,Spreads,Shawarma,,E,,196.0,Thursday,2023-09-21,Online,Old,,2,2,392.0,392.0,,,,VA-Head,High Volume,,NA,Spreads,,,,,,,,,,,,,,,,,,,,,,,
NCR,FDB,51,pr_ffojtznsds8,Chicken Boneless - Cubes,Chicken,Chicken,Chicken,,E,Torso,325.0,Thursday,2023-02-23,Online,Old,,1,1,325.0,325.0,,,,Torso,Low AF50,,Chicken,Chicken - BL,,,,,NCR,Stores,,1.0,,,,,,,,,,,,,,,
Mumbai,KHR,66,pr_6j4jhlmzwle,Freshwater Catla - Bengali Cut (Without Head),Fish & Seafood,Fish & Seafood,Catla - medium,,E,,389.0,Thursday,2023-11-16,Online,Old,,5,7,1945.0,2723.0,,,,Torso,High Volume,,Catla,Fish & Seafood - Curry Cuts,,,,,,,,,,,,,,,,,,,,,,,
